15/04/18,RYR3978,16:45,17:06
15/04/18,AFR1800,16:55,17:07
15/04/18,IBE3209,17:00,16:49
15/04/18,IBE3259,17:20,17:23
15/04/18,RYR7753,17:25,17:42
15/04/18,AZA048,17:35,17:34
15/04/18,IBE3131,17:45,17:58
15/04/18,AAL8866,17:45,17:30
15/04/18,IBE3263,18:05,18:06
15/04/18,IBS3731,18:35,18:22
15/04/18,RAM970,18:35,18:27
15/04/18,IBE3151,18:40,18:42
15/04/18,BAW462,18:45,18:42
15/04/18,IBE3149,18:50,18:25
15/04/18,AAL8670,18:50,18:23
15/04/18,TAM8683,18:55,18:42
